cell,category,aspect,feature,importance,rank
nk-bpo,nk,bpo,neighbor_vote_fraction,100956.3965,1
nk-bpo,nk,bpo,k_position,35581.0301,2
nk-bpo,nk,bpo,evidence_code,24590.1076,3
nk-bpo,nk,bpo,go_term_frequency,21696.6934,4
nk-bpo,nk,bpo,ref_annotation_density,18939.8234,5
nk-bpo,nk,bpo,vote_count,15843.1083,6
nk-bpo,nk,bpo,neighbor_distance_std,10049.0938,7
nk-bpo,nk,bpo,neighbor_mean_distance,8593.6734,8
nk-bpo,nk,bpo,neighbor_min_distance,7490.5839,9
nk-bpo,nk,bpo,distance,4756.5397,10
nk-bpo,nk,bpo,qualifier,382.1980,11
nk-bpo,nk,bpo,identity_nw,0.0000,12
nk-bpo,nk,bpo,similarity_nw,0.0000,13
nk-bpo,nk,bpo,alignment_score_nw,0.0000,14
nk-bpo,nk,bpo,gaps_pct_nw,0.0000,15
nk-bpo,nk,bpo,alignment_length_nw,0.0000,16
nk-bpo,nk,bpo,identity_sw,0.0000,17
nk-bpo,nk,bpo,similarity_sw,0.0000,18
nk-bpo,nk,bpo,alignment_score_sw,0.0000,19
nk-bpo,nk,bpo,gaps_pct_sw,0.0000,20
nk-bpo,nk,bpo,alignment_length_sw,0.0000,21
nk-bpo,nk,bpo,length_query,0.0000,22
nk-bpo,nk,bpo,length_ref,0.0000,23
nk-bpo,nk,bpo,taxonomic_distance,0.0000,24
nk-bpo,nk,bpo,taxonomic_common_ancestors,0.0000,25
nk-bpo,nk,bpo,tax_voters_same_frac,0.0000,26
nk-bpo,nk,bpo,tax_voters_close_frac,0.0000,27
nk-bpo,nk,bpo,tax_voters_mean_common_ancestors,0.0000,28
nk-bpo,nk,bpo,lineage_is_ancestor_of_known,0.0000,29
nk-bpo,nk,bpo,lineage_is_descendant_of_known,0.0000,30
nk-bpo,nk,bpo,lineage_ancestor_of_count,0.0000,31
nk-bpo,nk,bpo,lineage_descendant_of_count,0.0000,32
nk-bpo,nk,bpo,taxonomic_relation,0.0000,33
nk-bpo,nk,bpo,aspect,0.0000,34
nk-mfo,nk,mfo,neighbor_vote_fraction,57433.6184,1
nk-mfo,nk,mfo,go_term_frequency,33830.5877,2
nk-mfo,nk,mfo,evidence_code,26095.6129,3
nk-mfo,nk,mfo,vote_count,16262.0619,4
nk-mfo,nk,mfo,k_position,13149.1575,5
nk-mfo,nk,mfo,ref_annotation_density,7085.8090,6
nk-mfo,nk,mfo,neighbor_distance_std,4412.5597,7
nk-mfo,nk,mfo,neighbor_mean_distance,3876.9943,8
nk-mfo,nk,mfo,neighbor_min_distance,2383.1082,9
nk-mfo,nk,mfo,distance,1864.0303,10
nk-mfo,nk,mfo,qualifier,1482.9246,11
nk-mfo,nk,mfo,identity_nw,0.0000,12
nk-mfo,nk,mfo,similarity_nw,0.0000,13
nk-mfo,nk,mfo,alignment_score_nw,0.0000,14
nk-mfo,nk,mfo,gaps_pct_nw,0.0000,15
nk-mfo,nk,mfo,alignment_length_nw,0.0000,16
nk-mfo,nk,mfo,identity_sw,0.0000,17
nk-mfo,nk,mfo,similarity_sw,0.0000,18
nk-mfo,nk,mfo,alignment_score_sw,0.0000,19
nk-mfo,nk,mfo,gaps_pct_sw,0.0000,20
nk-mfo,nk,mfo,alignment_length_sw,0.0000,21
nk-mfo,nk,mfo,length_query,0.0000,22
nk-mfo,nk,mfo,length_ref,0.0000,23
nk-mfo,nk,mfo,taxonomic_distance,0.0000,24
nk-mfo,nk,mfo,taxonomic_common_ancestors,0.0000,25
nk-mfo,nk,mfo,tax_voters_same_frac,0.0000,26
nk-mfo,nk,mfo,tax_voters_close_frac,0.0000,27
nk-mfo,nk,mfo,tax_voters_mean_common_ancestors,0.0000,28
nk-mfo,nk,mfo,lineage_is_ancestor_of_known,0.0000,29
nk-mfo,nk,mfo,lineage_is_descendant_of_known,0.0000,30
nk-mfo,nk,mfo,lineage_ancestor_of_count,0.0000,31
nk-mfo,nk,mfo,lineage_descendant_of_count,0.0000,32
nk-mfo,nk,mfo,taxonomic_relation,0.0000,33
nk-mfo,nk,mfo,aspect,0.0000,34
nk-cco,nk,cco,neighbor_vote_fraction,40621.8328,1
nk-cco,nk,cco,go_term_frequency,25183.2022,2
nk-cco,nk,cco,k_position,15774.0958,3
nk-cco,nk,cco,evidence_code,13242.2660,4
nk-cco,nk,cco,vote_count,10989.1528,5
nk-cco,nk,cco,ref_annotation_density,6649.8283,6
nk-cco,nk,cco,neighbor_mean_distance,5220.9715,7
nk-cco,nk,cco,neighbor_distance_std,5207.1851,8
nk-cco,nk,cco,neighbor_min_distance,4062.5391,9
